EAN;PRODUTO;DESCRITIVO
7896341101840;248310;SALG TORCIDA 60G CALABRESA
7896341101796;248334;SALG TORCIDA 60G CEBOLA
7896341101826;248341;SALG TORCIDA 60G QUEIJO
7891132000654;239981;MID  ABACAXI
7891132000715;239998;MID  MANGA
7891132000678;240000;MID  UVA
7891132000609;240017;MID  LIMAO
7891132000616;240024;MID  PERA
7891132000531;240031;MID  LARANJA
7891132000555;240048;MID  TANGERINA
7891132000579;240055;MID  MARACUJA
7891150008342;242769;DET PO OMO M ACAO CX 1000G TRAD
7896098902448;189071;AMAC 2L YPE AMAR CARINHO
7891079001523;245777;MAC INST NIS LAM 85G CREM PICANHA
7896098902417;245913;AMAC 2L YPE ROSA TERNURA
7897951614270;251235;MILK MIX   200ml MORANGO
7894000183015;246453;ADES 1L ORIGINAL CALCIO
7896341101802;250207;SALG TORCIDA 60G PIZZA
7891080400070;215411;MARG  DELICIA  500G S/SAL
7894000182018;253307;ADES 1L MACA
7896085055782;251433;BISC ADRIA TORTINHAS 160G CHOC/AVEL
7896085055799;251457;BISC ADRIA TORTINHAS 160G MORANGO
7894000001159;252409;ADES 1L UVA
7891099612600;252942;REFR FRESH PESSEGO
7896005272084;207461;MIST BOLO  450G D BENTA ABACAXI
7896005272060;207478;MIST BOLO  450G D BENTA FESTA
7896061915130;213042;PAPEL HIG SUBLIME C/4 HERBAL
7896035210001;211635;SAL REF 1KG CISNE
7896066317595;225595;PAO WICK BOLD   FORMA TRADICIONAL
7897664130012;216630;DET LIQ  MINUANO 500ml MACA
7897664130029;216647;DET LIQ  MINUANO 500ml LEMON
7897664130036;216661;DET LIQ  MINUANO 500ml NEUTRO
7897664130043;216678;DET LIQ  MINUANO 500ml FRESH
7898422750107;216692;SH SEDA 350ML CHOCOLATE REP MASSA
7898422749583;216807;SH SEDA 350ML LISO EXTREMO
7891025501527;214230;REQUEIJAO CP 220G POCOS CALDA*
7897951610005;215091;LEITE TIPO C SERRAMAR
7896090400331;215107;ST FRANCIS SUAVE 90G CEREAIS AV
7896090400324;215114;ST FRANCIS SUAVE 90G CHAS VER/E
7896090400317;215121;ST FRANCIS SUAVE 90G IOGURTE PE
7896090400300;215138;ST FRANCIS SUAVE 90G OLEOS MAC/
7894000047515;215152;ADES 1L PESSEGO
7897951610623;215213;MANT SERRAMAR 200G C/SAL
